#Private For-Profit Four-Year,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Alaska,0,0,8,4,20,30,9,16,24,30
Alabama,169,93,149,177,257,251,254,715,869,1560
Arkansas,0,0,0,0,0,22,44,47,91,110
Arizona,2614,3009,2934,3175,3095,3016,3371,3293,3805,4315
California,5880,6475,7148,8272,8653,9022,9261,10273,12089,12404
Colorado,956,1095,1302,1534,1616,1902,1847,2029,1848,1822
Connecticut,36,28,25,38,228,243,226,251,284,151
Delaware,0,0,0,0,0,0,0,0,0,13
Florida,1794,1937,2218,3291,3696,4686,5474,5926,6635,6964
Georgia,925,1151,1460,4000,1722,1825,1683,1833,2057,2484
Hawaii,124,144,125,183,173,211,209,190,210,138
Iowa,40,110,143,176,178,224,206,266,216,346
Idaho,8,1,8,44,98,128,139,112,129,133
Illinois,1584,1800,2319,2730,6855,9637,9533,7832,7170,7926
Indiana,245,196,166,177,161,259,386,384,518,803
Kansas,0,0,0,0,3,24,45,41,52,34
Kentucky,192,310,201,315,362,366,383,325,570,613
Louisiana,189,168,188,268,255,239,297,320,364,362
Massachusetts,0,0,1,17,69,151,231,333,338,379
Maryland,6,63,113,141,208,223,200,128,275,684
Maine,0,0,0,0,0,0,0,0,0,0
Michigan,321,373,387,568,589,520,619,507,718,711
Minnesota,60,82,218,380,629,838,1057,1339,1709,2123
Missouri,557,590,878,967,795,757,762,1074,1733,2391
Mississippi,0,0,0,0,0,0,0,0,0,0
Montana,0,0,0,0,0,0,0,0,0,0
North Carolina,0,0,0,2,8,48,150,274,371,727
North Dakota,0,0,0,0,0,0,0,3,26,81
Nebraska,0,0,0,0,11,14,45,53,71,86
New Hampshire,97,86,85,135,150,110,161,164,352,424
New Jersey,86,107,330,565,462,487,461,527,553,636
New Mexico,611,641,701,751,789,826,900,785,1045,968
Nevada,271,255,266,379,538,617,662,702,786,897
New York,1304,1717,2273,2446,2730,2849,2871,3199,3210,3217
Ohio,486,561,508,690,704,739,762,833,929,962
Oklahoma,145,235,280,315,338,348,360,321,346,339
Oregon,210,250,395,401,434,512,523,546,666,573
Pennsylvania,28,162,412,737,867,1262,1417,1623,1701,1904
Rhode Island,0,0,0,0,0,0,0,0,0,0
South Carolina,0,0,0,0,24,33,46,50,111,975
South Dakota,206,242,362,504,573,579,461,331,334,320
Tennessee,74,61,98,107,179,203,265,349,538,934
Texas,404,527,509,801,1146,1500,1591,1793,2016,2023
Utah,375,391,500,578,746,746,875,890,1076,931
Virginia,48,189,69,164,361,462,556,622,858,2400
Vermont,26,25,27,26,26,16,13,37,40,49
Washington,180,278,338,604,745,797,746,823,1019,877
Wisconsin,88,104,112,174,237,252,326,446,488,591
West Virginia,0,0,0,0,72,71,43,46,28,30
Wyoming,0,0,0,0,0,2,4,16,18,8
Average,23032,26398,31155,42306,48858,62037,70765,75949,84672,97788
