#--------------------------7/1/98 to 7/1/99--------------------------
Area, 199907 Population Change Rank,Numeric Change Rank,Percent Change Rank,Birth Rank,Deaths Rank,Net International Migration Rank,Net Domestic Migration Rank
Alabama,23,28,35,23,18,38,26
Alaska,48,41,20,47,51,43,33
Arizona,20,5,2,16,22,14,3
Arkansas,33,33,30,34,31,40,21
California,1,1,7,1,1,1,50
Colorado,24,7,3,24,32,16,6
Connecticut,29,35,42,30,27,18,41
Delaware,45,34,12,45,46,41,19
District of Columbia,50,47,50,49,48,31,38
Florida,4,3,10,4,2,4,1
Georgia,10,4,4,9,11,11,2
Hawaii,42,50,49,40,44,24,45
Idaho,40,26,5,39,42,32,16
Illinois,5,11,32,5,7,5,49
Indiana,14,19,23,13,15,23,27
Iowa,30,37,41,33,29,30,32
Kansas,32,31,25,32,33,28,30
Kentucky,25,25,21,25,23,35,15
Louisiana,22,36,43,21,21,36,44
Maine,39,39,34,42,38,48,20
Maryland,19,17,19,19,20,9,34
Massachusetts,13,22,31,14,12,10,39
Michigan,8,16,33,8,8,12,43
Minnesota,21,13,17,22,24,20,11
Mississippi,31,30,22,31,30,46,22
Missouri,17,21,26,18,13,22,18
Montana,44,42,36,44,43,50,24
Nebraska,38,40,39,37,35,37,35
Nevada,35,10,1,35,36,15,7
New Hampshire,41,32,11,41,41,42,14
New Jersey,9,14,24,11,9,6,46
New Mexico,37,38,37,36,37,26,42
New York,3,18,44,3,3,2,51
North Carolina,11,6,9,10,10,17,4
North Dakota,47,48,51,48,47,45,37
Ohio,7,27,45,6,6,21,47
Oklahoma,27,29,27,27,26,29,25
Oregon,28,20,16,28,28,19,13
Pennsylvania,6,51,46,7,5,13,48
Rhode Island,43,44,40,43,40,39,28
South Carolina,26,15,15,26,25,34,8
South Dakota,46,45,38,46,45,47,29
Tennessee,16,12,18,17,16,27,10
Texas,2,2,6,2,4,3,5
Utah,34,23,8,29,39,25,40
Vermont,49,43,29,50,49,44,23
Virginia,12,8,13,12,14,8,9
Washington,15,9,14,15,19,7,12
West Virginia,36,49,48,38,34,49,36
Wisconsin,18,24,28,20,17,33,17
Wyoming,51,46,47,51,50,51,31
