                             04/01/50    ###07/01/5107/01/52          07/01/53   07/01/54   07/01/55   07/01/56   07/01/57   07/01/58   07/01/59   04/01/60
                                                                                                                                                
U.S.                           151326 151868  153982  156393            158956     161884     165069     168088     171187     174149     177135     179323
Northeast                       39478  39559   39644   40178             41045      41823      42278      42628      43095      43766      44371      44678
North Centra                    44461  44632   45053   45673             46436      47515      48511      49309      49946      50572      51124      51619
South                           47197  47347   48321   48840             48927      49266      50224      51151      52287      53123      54077      54973
West                            20190  20331   20964   21701             22548      23278      24056      25001      25859      26687      27563      28053
AL                               3062   3058    3059    3068              3053       3014       3050       3071       3109       3163       3204       3267
AK                                129    135     158     189               205        215        222        224        231        224        224        226
AZ                                750    756     785     842               894        933        987       1053       1125       1193       1261       1302
AR                               1910   1908    1901    1838              1780       1734       1725       1704       1733       1726       1756       1786
CA                              10586  10677   11134   11635             12251      12746      13133      13713      14264      14880      15467      15717
CO                               1325   1325    1326    1365              1431       1493       1546       1625       1664       1667       1710       1754
CT                               2007   2016    2028    2081              2168       2249       2300       2316       2359       2446       2523       2535
DE                                318    321     331     341               351        368        389        408        426        433        441        446
DC                                802    806     808     805               810        791        785        759        763        757        761        764
FL                               2771   2810    2980    3157              3310       3505       3747       4047       4372       4630       4808       4952
GA                               3445   3458    3531    3584              3558       3602       3636       3701       3766       3804       3868       3943
HI                                500    498     514     517               510        505        539        559        584        605        622        633
ID                                589    590     589     587               596        600        618        628        642        646        657        667
IL                               8712   8738    8790    8956              9065       9252       9435       9530       9668       9886       9986      10081
IN                               3934   3967    4096    4148              4182       4264       4363       4458       4529       4583       4613       4662
IA                               2621   2625    2617    2626              2629       2626       2679       2703       2716       2708       2729       2758
KS                               1905   1916    1950    1977              1994       2042       2093       2119       2128       2142       2160       2179
KY                               2945   2936    2941    2920              2903       2902       2910       2898       2928       2961       2999       3038
LA                               2684   2697    2769    2842              2866       2883       2946       3032       3115       3155       3208       3257
ME                                914    917     916     915               913        927        934        938        943        944        957        969
MD                               2343   2355    2441    2500              2567       2685       2742       2811       2873       2982       3066       3101
MA                               4691   4686    4654    4650              4806       4910       4882       4891       4929       5010       5117       5149
MI                               6372   6407    6497    6650              6822       7066       7285       7467       7569       7667       7767       7823
MN                               2982   2997    3010    3030              3050       3113       3172       3240       3274       3313       3366       3414
MS                               2179   2176    2163    2152              2105       2064       2060       2086       2088       2086       2138       2178
MO                               3955   3964    4015    3972              4020       4066       4134       4163       4189       4186       4258       4320
MT                                591    593     596     602               616        624        636        656        667        666        669        675
NE                               1326   1327    1316    1311              1318       1340       1374       1397       1394       1383       1397       1411
NV                                160    162     168     181               195        213        237        250        260        269        279        285
NH                                533    532     529     535               547        554        557        566        572        581        596        607
NJ                               4835   4872    5006    5125              5229       5360       5502       5615       5737       5890       6015       6067
NM                                681    689     717     735               756        763        785        806        847        886        919        951
NY                              14830  14865   14890   15192             15527      15814      15966      16112      16374      16601      16685      16782
NC                               4062   4068    4120    4109              4120       4131       4242       4309       4368       4376       4458       4556
ND                                620    619     604     608               609        611        615        613        612        606        618        632
OH                               7947   7980    8061    8275              8591       8873       9017       9207       9410       9599       9671       9706
OK                               2233   2229    2210    2219              2182       2209       2250       2273       2282       2267       2289       2328
OR                               1521   1532    1556    1582              1601       1626       1659       1698       1712       1718       1746       1769
PA                              10498  10507   10461   10503             10662      10817      10939      10972      10954      11058      11234      11319
RI                                792    786     784     802               815        816        823        840        851        858        857        859
SC                               2117   2113    2167    2178              2181       2176       2200       2229       2274       2304       2348       2383
SD                                653    655     655     651               648        655        663        670        666        656        667        681
TN                               3292   3315    3372    3352              3319       3359       3415       3415       3434       3471       3522       3567
TX                               7711   7776    8111    8314              8336       8382       8660       8830       9070       9252       9405       9580
UT                                689    696     706     724               739        750        783        809        826        845        870        891
VT                                378    379     378     375               379        377        375        377        376        380        387        390
VA                               3319   3315    3434    3504              3557       3555       3588       3722       3844       3914       3951       3967
WA                               2379   2387    2424    2448              2466       2516       2604       2668       2724       2773       2821       2853
WV                               2006   2006    1984    1957              1929       1905       1880       1857       1843       1845       1855       1860
WI                               3435   3438    3439    3469              3506       3608       3679       3742       3791       3843       3891       3952
WY                                291    290     291     293               290        293        307        312        314        315        320        330
