Area,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1960,1961,1962,1963,1964,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
United States,151868,153982,156393,158956,161884,165069,168088,171187,174149,177135,179323,179975,182973,185738,188438,191085,195501,197374,199312,201306,203185,206827,209284,211357,213342,215465,217563,219760,222095,224567,226546,229466,231664,233792,235825,237924,240133,242289,244499,246819,248710,,,,,,,,,,282162,284969,287625,290108,292805,295517,298380,301231,304094,306772,308746
Alabama,3058,3059,3068,3053,3014,3050,3071,3109,3163,3204,3267,3274,3316,3323,3358,3395,3464,3458,3446,3440,3444,3497,3539,3580,3626,3679,3735,3780,3832,3866,3894,3919,3925,3934,3952,3973,3992,4015,4024,4030,4041,,,,,,,,,,4452,4468,4480,4503,4531,4570,4629,4673,4718,4758,4780
Alaska,135,158,189,205,215,222,224,231,224,224,226,229,238,246,256,263,271,278,285,296,302,316,324,331,341,376,401,403,405,403,402,418,450,488,514,532,544,539,542,547,550,,,,,,,,,,628,634,642,648,659,667,675,680,687,699,710
Arizona,756,785,842,894,933,987,1053,1125,1193,1261,1302,1321,1407,1471,1521,1556,1614,1646,1682,1737,1772,1896,2008,2124,2223,2285,2346,2425,2515,2636,2718,2810,2890,2969,3067,3184,3308,3437,3535,3622,3665,,,,,,,,,,5161,5273,5396,5510,5652,5839,6029,6168,6280,6343,6392
Arkansas,1908,1901,1838,1780,1734,1725,1704,1733,1726,1756,1786,1789,1806,1853,1875,1897,1899,1901,1902,1913,1923,1972,2019,2059,2101,2160,2170,2209,2243,2271,2286,2293,2294,2306,2320,2327,2332,2342,2343,2346,2351,,,,,,,,,,2679,2692,2706,2725,2750,2781,2822,2849,2875,2897,2916
California,10677,11134,11635,12251,12746,13133,13713,14264,14880,15467,15717,15870,16497,17072,17668,18151,18858,19176,19394,19711,19953,20346,20585,20869,21174,21538,21936,22352,22836,23257,23668,24286,24820,25360,25844,26441,27102,27777,28464,29218,29760,,,,,,,,,,33988,34479,34872,35253,35575,35828,36021,36250,36604,36961,37254
Colorado,1325,1326,1365,1431,1493,1546,1625,1664,1667,1710,1754,1769,1844,1899,1936,1970,2007,2053,2120,2166,2207,2304,2405,2496,2541,2586,2632,2696,2767,2849,2890,2978,3062,3134,3170,3209,3237,3260,3262,3276,3294,,,,,,,,,,4327,4426,4490,4529,4575,4632,4720,4804,4890,4972,5029
Connecticut,2016,2028,2081,2168,2249,2300,2316,2359,2446,2523,2535,2544,2586,2647,2727,2798,2903,2935,2964,3000,3032,3061,3069,3068,3074,3082,3083,3086,3092,3096,3108,3129,3139,3162,3180,3201,3224,3247,3272,3283,3287,,,,,,,,,,3412,3433,3459,3484,3496,3507,3517,3527,3546,3562,3574
Delaware,321,331,341,351,368,389,408,426,433,441,446,449,461,469,483,497,516,525,534,540,548,565,573,578,581,587,590,592,595,595,594,596,599,605,612,618,628,637,648,658,666,,,,,,,,,,786,796,806,818,831,845,859,872,884,892,898
District of Columbia,806,808,805,810,791,785,759,763,757,761,764,765,778,788,798,798,791,791,778,762,757,750,742,731,718,707,692,677,665,650,638,637,634,632,633,635,638,637,630,624,607,,,,,,,,,,572,575,573,569,568,567,571,574,580,592,602
Florida,2810,2980,3157,3310,3505,3747,4047,4372,4630,4808,4952,5004,5243,5458,5628,5781,6104,6242,6433,6641,6789,7158,7511,7914,8299,8518,8667,8856,9102,9426,9746,10193,10471,10750,11040,11351,11668,11997,12306,12638,12938,,,,,,,,,,16048,16357,16689,17004,17415,17842,18167,18368,18527,18653,18801
Georgia,3458,3531,3584,3558,3602,3636,3701,3766,3804,3868,3943,3956,4015,4086,4172,4258,4379,4408,4482,4551,4590,4712,4809,4910,4999,5064,5133,5220,5296,5401,5463,5568,5650,5728,5835,5963,6085,6208,6316,6411,6478,,,,,,,,,,8227,8377,8508,8623,8769,8926,9156,9350,9505,9621,9688
Hawaii,498,514,517,510,505,539,559,584,605,622,633,642,659,684,682,700,710,723,734,750,770,802,828,852,868,886,904,918,932,953,965,978,994,1013,1028,1040,1052,1068,1080,1095,1108,,,,,,,,,,1214,1226,1240,1251,1274,1293,1310,1316,1332,1347,1360
Idaho,590,589,587,596,600,618,628,642,646,657,667,671,684,692,683,680,689,688,695,707,713,739,763,782,808,832,857,883,911,933,944,962,974,982,991,994,990,985,986,994,1007,,,,,,,,,,1299,1320,1340,1363,1392,1428,1469,1505,1534,1554,1568
