Area,1960,1960,1961,1962,1963,1964

U.S.,179323,179975,182973,185738,188438,191085
Northeast,44678,44802,45384,45833,46402,46953
Midwest,51619,51715,52185,52583,53073,53655
South,54973,55174,56158,57179,58008,58853
West,28053,28284,29246,30142,30955,31624

AL,3267,3274,3316,3323,3358,3395
AK,226,229,238,246,256,263
AZ,1302,1321,1407,1471,1521,1556
AR,1786,1789,1806,1853,1875,1897
CA,15717,15870,16497,17072,17668,18151
CO,1754,1769,1844,1899,1936,1970
CT,2535,2544,2586,2647,2727,2798
DE,446,449,461,469,483,497
DC,764,765,778,788,798,798
FL,4952,5004,5243,5458,5628,5781
GA,3943,3956,4015,4086,4172,4258
HI,633,642,659,684,682,700
ID,667,671,684,692,683,680
IL,10081,10086,10130,10280,10402,10580
IN,4662,4674,4730,4736,4799,4856
IA,2758,2756,2756,2750,2747,2746
KS,2179,2183,2215,2231,2217,2209
KY,3038,3041,3054,3079,3096,3129
LA,3257,3260,3287,3345,3377,3446
ME,969,975,995,994,993,993
MD,3101,3113,3176,3263,3386,3492
MA,5149,5160,5219,5263,5344,5448
MI,7823,7834,7893,7933,8058,8187
MN,3414,3425,3470,3513,3531,3558
MS,2178,2182,2206,2243,2244,2241
MO,4320,4326,4349,4357,4392,4442
MT,675,679,696,698,703,706
NE,1411,1417,1446,1464,1476,1482
NV,285,291,315,352,397,426
NH,607,609,618,632,649,663
NJ,6067,6103,6265,6376,6531,6660
NM,951,954,965,979,989,1006
NY,16782,16838,17061,17301,17461,17589
NC,4556,4573,4663,4707,4742,4802
ND,632,634,641,637,644,649
OH,9706,9734,9854,9929,9986,10080
OK,2328,2336,2380,2427,2439,2446
OR,1769,1772,1787,1818,1853,1888
PA,11319,11329,11392,11355,11424,11519
RI,859,855,858,871,876,885
SC,2383,2392,2409,2423,2460,2475
SD,681,683,693,705,708,701
TN,3567,3575,3622,3673,3718,3771
TX,9580,9624,9820,10053,10159,10270
UT,891,900,936,958,974,978
VT,390,389,390,393,397,399
VA,3967,3986,4095,4180,4276,4357
WA,2853,2855,2882,2942,2955,2961
WV,1860,1853,1828,1809,1796,1797
WI,3952,3962,4009,4049,4112,4165
WY,330,331,337,333,336,339


,1965,1966,1967,1968,1969,1970

U.S.,193460,195501,197374,199312,201306,203185
Northeast,47451,47788,48106,48435,48678,49000
Midwest,54225,54840,55289,55692,56106,56577
South,59579,60205,60771,61489,62190,62798
West,32205,32667,33207,33696,34332,34809

AL,3443,3464,3458,3446,3440,3444
AK,271,271,278,285,296,302
AZ,1584,1614,1646,1682,1737,1772
AR,1894,1899,1901,1902,1913,1923
CA,18585,18858,19176,19394,19711,19953
CO,1985,2007,2053,2120,2166,2207
CT,2857,2903,2935,2964,3000,3032
DE,507,516,525,534,540,548
DC,797,791,791,778,762,757
FL,5954,6104,6242,6433,6641,6789
GA,4332,4379,4408,4482,4551,4590
HI,704,710,723,734,750,770
ID,686,689,688,695,707,713
IL,10693,10836,10947,10995,11039,11114
IN,4922,4999,5053,5093,5143,5194
IA,2742,2762,2793,2803,2805,2825
KS,2206,2200,2197,2216,2236,2249
KY,3140,3147,3172,3195,3198,3219
LA,3496,3550,3581,3603,3619,3643
ME,997,999,1004,994,992,994
MD,3600,3695,3757,3815,3868,3922
MA,5502,5535,5594,5618,5650,5689
MI,8357,8512,8630,8696,8781,8875
MN,3592,3617,3659,3703,3758,3805
MS,2246,2245,2228,2219,2220,2217
MO,4467,4523,4539,4568,4640,4677
MT,706,707,701,700,694,694
NE,1471,1456,1457,1467,1474,1484
NV,444,446,449,464,480,489
NH,676,681,697,709,724,738
NJ,6767,6851,6928,7005,7095,7168
NM,1012,1007,1000,994,1011,1016
NY,17734,17843,17935,18051,18105,18191
NC,4863,4896,4952,5004,5031,5082
ND,649,647,626,621,621,618
OH,10201,10330,10414,10516,10563,10652
OK,2440,2454,2489,2503,2535,2559
OR,1937,1969,1979,2004,2062,2091
PA,11620,11664,11681,11741,11741,11794
RI,893,899,909,922,932,950
SC,2494,2520,2533,2559,2570,2591
SD,692,683,671,669,668,666
TN,3798,3822,3859,3878,3897,3924
TX,10378,10492,10599,10819,11045,11197
UT,994,1009,1019,1029,1047,1059
VT,404,413,423,430,437,445
VA,4411,4456,4508,4558,4614,4648
WA,2967,3057,3174,3270,3343,3409
WV,1786,1775,1769,1763,1746,1744
WI,4232,4274,4303,4345,4378,4418
WY,332,323,322,324,329,332
