"","Area","Year","Private forprofit graduate","Violent crimes","Population","Total graduate","Public graduate","Private nonprofit graduate"
"1","Alabama","1950",NA,NA,3058,NA,NA,NA
"2","Alabama","1951",NA,NA,3059,NA,NA,NA
"3","Alabama","1952",NA,NA,3068,NA,NA,NA
"4","Alabama","1953",NA,NA,3053,NA,NA,NA
"5","Alabama","1954",NA,NA,3014,NA,NA,NA
"6","Alabama","1955",NA,NA,3050,NA,NA,NA
"7","Alabama","1956",NA,NA,3071,NA,NA,NA
"8","Alabama","1957",NA,NA,3109,NA,NA,NA
"9","Alabama","1958",NA,NA,3163,NA,NA,NA
"10","Alabama","1959",NA,NA,3204,NA,NA,NA
"11","Alabama","1960",NA,"6097",3267,NA,NA,NA
"12","Alabama","1961",NA,"5564",3316,NA,NA,NA
"13","Alabama","1962",NA,"5283",3323,NA,NA,NA
"14","Alabama","1963",NA,"6115",3358,NA,NA,NA
"15","Alabama","1964",NA,"7260",3395,NA,NA,NA
"16","Alabama","1965",NA,"6916",NA,NA,NA,NA
"17","Alabama","1966",NA,"8098",3464,NA,NA,NA
"18","Alabama","1967",NA,"8448",3458,NA,NA,NA
"19","Alabama","1968",NA,"8288",3446,NA,NA,NA
"20","Alabama","1969",NA,"8842",3440,NA,NA,NA
"21","Alabama","1970",NA,"10185",3444,NA,NA,NA
"22","Alabama","1971",NA,"10835",3497,NA,NA,NA
"23","Alabama","1972",NA,"10994",3539,NA,NA,NA
"24","Alabama","1973",NA,"12390",3580,NA,NA,NA
"25","Alabama","1974",NA,"13338",3626,NA,NA,NA
"26","Alabama","1975",NA,"14201",3679,NA,NA,NA
"27","Alabama","1976",NA,"14248",3735,NA,NA,NA
"28","Alabama","1977",NA,"15293",3780,NA,NA,NA
"29","Alabama","1978",NA,"15682",3832,NA,NA,NA
"30","Alabama","1979",NA,"15578",3866,NA,NA,NA
"31","Alabama","1980",NA,"17320",3894,NA,NA,NA
"32","Alabama","1981",NA,"18423",3919,NA,NA,NA
"33","Alabama","1982",NA,"17653",3925,NA,NA,NA
"34","Alabama","1983",NA,"16471",3934,NA,NA,NA
"35","Alabama","1984",NA,"17204",3952,NA,NA,NA
"36","Alabama","1985",NA,"18398",3973,NA,NA,NA
"37","Alabama","1986",NA,"22616",3992,NA,NA,NA
"38","Alabama","1987",NA,"22833",4015,NA,NA,NA
"39","Alabama","1988",NA,"23052",4024,NA,NA,NA
"40","Alabama","1989",NA,"24329",4030,NA,NA,NA
"41","Alabama","1990",NA,"28630",4041,NA,NA,NA
"42","Alabama","1991",NA,"34518",4082.1,NA,NA,NA
"43","Alabama","1992",NA,"36052",4123.2,NA,NA,NA
"44","Alabama","1993",NA,"32676",4164.3,NA,NA,NA
"45","Alabama","1994",NA,"28844",4205.4,NA,NA,NA
"46","Alabama","1995",NA,"26894",4246.5,NA,NA,NA
"47","Alabama","1996",NA,"24159",4287.6,NA,NA,NA
"48","Alabama","1997",NA,"24379",4328.7,NA,NA,NA
"49","Alabama","1998",NA,"22286",4369.8,NA,NA,NA
"50","Alabama","1999",NA,"21421",4410.9,NA,NA,NA
"51","Alabama","2000",NA,"21620",4452,NA,NA,NA
"52","Alabama","2001",169,"19582",4468,20823,17210,3444
"53","Alabama","2002",93,"19931",4480,20314,16757,3464
"54","Alabama","2003",149,"19331",4503,20479,16950,3380
"55","Alabama","2004",177,"19324",4531,21386,17643,3566
"56","Alabama","2005",257,"19678",4570,21616,17810,3549
"57","Alabama","2006",251,"19553",4629,21995,18332,3412
"58","Alabama","2007",254,"20775",4673,21981,18499,3228
"59","Alabama","2008",715,"21110",4718,23448,18926,3807
"60","Alabama","2009",869,"21194",4758,24245,19928,3448
"61","Alabama","2010",1560,"18363",4780,25686,20633,3488
"62","Alabama","2011",NA,"20166",NA,NA,NA,NA
"63","Alabama","2012",NA,"21693",NA,NA,NA,NA
"64","Alaska","1950",NA,NA,135,NA,NA,NA
"65","Alaska","1951",NA,NA,158,NA,NA,NA
"66","Alaska","1952",NA,NA,189,NA,NA,NA
"67","Alaska","1953",NA,NA,205,NA,NA,NA
"68","Alaska","1954",NA,NA,215,NA,NA,NA
"69","Alaska","1955",NA,NA,222,NA,NA,NA
"70","Alaska","1956",NA,NA,224,NA,NA,NA
"71","Alaska","1957",NA,NA,231,NA,NA,NA
"72","Alaska","1958",NA,NA,224,NA,NA,NA
"73","Alaska","1959",NA,NA,224,NA,NA,NA
"74","Alaska","1960",NA,"236",226,NA,NA,NA
"75","Alaska","1961",NA,"208",238,NA,NA,NA
"76","Alaska","1962",NA,"225",246,NA,NA,NA
"77","Alaska","1963",NA,"272",256,NA,NA,NA
"78","Alaska","1964",NA,"375",263,NA,NA,NA
"79","Alaska","1965",NA,"377",NA,NA,NA,NA
"80","Alaska","1966",NA,"409",271,NA,NA,NA
"81","Alaska","1967",NA,"437",278,NA,NA,NA
"82","Alaska","1968",NA,"486",285,NA,NA,NA
"83","Alaska","1969",NA,"624",296,NA,NA,NA
"84","Alaska","1970",NA,"840",302,NA,NA,NA
"85","Alaska","1971",NA,"1112",316,NA,NA,NA
"86","Alaska","1972",NA,"1204",324,NA,NA,NA
"87","Alaska","1973",NA,"1269",331,NA,NA,NA
"88","Alaska","1974",NA,"1527",341,NA,NA,NA
"89","Alaska","1975",NA,"1900",376,NA,NA,NA
"90","Alaska","1976",NA,"2063",401,NA,NA,NA
"91","Alaska","1977",NA,"1804",403,NA,NA,NA
"92","Alaska","1978",NA,"1781",405,NA,NA,NA
"93","Alaska","1979",NA,"1994",403,NA,NA,NA
"94","Alaska","1980",NA,"1919",402,NA,NA,NA
"95","Alaska","1981",NA,"2537",418,NA,NA,NA
"96","Alaska","1982",NA,"2732",450,NA,NA,NA
