"","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"united states",3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25
"alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alaska",3.6,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,4.3,4.75,4.75,4.75,4.75,4.75,5.25,5.65,5.65,5.65,5.65,5.65,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.75,7.75,7.75,7.75,7.75
"arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.75,6.9,7.25,7.25,7.35,7.65,7.8,7.9
"arkansas",2.55,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.25,3.25,3.25,3.35,3.65,3.65,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25
"california",2.9,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,4.25,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.75,6.25,6.75,6.75,6.75,6.75,6.75,7.5,8,8,8,8,8,8,9
"colorado",1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,3,3,3,3,3,3,3,3,3,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.85,7.02,7.28,7.24,7.36,7.64,7.78,8
"connecticut",3.12,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.75,3.75,3.75,4.25,4.27,4.27,4.27,4.27,4.27,4.77,5.18,5.18,6.15,6.4,6.7,6.9,7.1,7.1,7.4,7.65,7.65,8,8.25,8.25,8.25,8.25,8.7
"delaware",2,2,2,2,2,2,2,2,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.65,5,5.15,5.15,5.65,6.15,6.15,6.15,6.15,6.15,6.15,6.65,7.15,7.15,7.25,7.25,7.25,7.25,7.75
"florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,6.67,6.79,7.21,7.25,7.25,7.67,7.79,7.93
"georgia",1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15
"hawaii",2.9,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.85,3.85,3.85,3.85,3.85,3.85,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.75,6.25,6.25,6.25,6.75,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
"idaho",2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,3.8,4.25,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25
"illinois",2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.5,6.5,6.5,6.5,7.5,7.75,8,8.25,8.25,8.25,8.25
"indiana",2,2,2,2,2,2,2,2,2,2,2,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25
"iowa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,4.65,4.65,4.65,4.65,4.65,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,7.25,7.25,7.25,7.25,7.25,7.25,7.25
"kansas",1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,7.25,7.25,7.25,7.25,7.25
"kentucky",2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25
"louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"maine",3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.65,3.65,3.65,3.85,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.75,6.25,6.25,6.35,6.5,6.75,7,7.25,7.5,7.5,7.5,7.5,7.5
"maryland",3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.15,6.55,7.25,7.25,7.25,7.25,7.25
"massachusetts",3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.65,3.65,3.65,3.75,4.25,4.25,4.25,4.25,4.75,5.25,5.25,5.25,6,6.75,6.75,6.75,6.75,6.75,6.75,7.5,8,8,8,8,8,8,8
"michigan",3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.95,7.15,7.4,7.4,7.4,7.4,7.4,8.15
"minnesota",2.9,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.55,3.55,3.55,4.25,4.25,4.25,4.25,4.25,4.25,4.25,5.15,5.15,4.9,4.9,4.9,4.9,4.9,4.9,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,6.5
"mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"missouri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.5,6.65,7.05,7.25,7.25,7.25,7.35,7.5
"montana",2,2,2,2,2,2,2,2,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7.9
"nebraska",1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,3.35,3.35,3.35,3.35,4.25,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25
"nevada",2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.33,6.55,6.55,7.25,7.25,7.25,7.25
"new hampshire",3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.55,3.55,3.55,3.85,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.5,7.25,7.25,7.25,7.25,7.25,7.25
"new jersey",3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.8,4.25,4.25,5.05,5.05,5.05,5.05,5.05,5.05,5.15,5.15,5.15,5.15,5.15,5.15,6.15,7.15,7.15,7.15,7.25,7.25,7.25,7.25,8.25
"new mexico",2.65,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.35,3.35,3.35,3.35,3.35,3.35,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,6.5,7.5,7.5,7.5,7.5,7.5,7.5
"new york",3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,6,6.75,7.15,7.15,7.15,7.25,7.25,7.25,7.25,8
"north carolina",2.75,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.35,3.35,3.35,3.35,3.8,3.8,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.15,6.55,7.25,7.25,7.25,7.25,7.25
